"Kode Aset";"Serial Number";"Kode Item";"Nama Aset";Spesifikasi;"Tanggal Perolehan";"Harga Beli";"Sumber Perolehan";"Kode Unit";"Nama Unit";PIC;Kondisi;Status;"Jenis KIB";"Masa Manfaat (Tahun)";"Nilai Residu";"Akumulasi Penyusutan";"Nilai Buku"
01201030112-02;SN-01201030112-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030113-02;SN-01201030113-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030114-02;SN-01201030114-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
01201030115-02;SN-01201030115-02;BRG0720260249;"Keset Kaki Tebal";;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;20000
010201050001-02;SN-010201050001-02;BRG0720260249;"Sapu Keset";;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;30000
010201050002-02;SN-010201050002-02;BRG0720260249;"Sapu Keset";;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;30000
010201050003-02;SN-010201050003-02;BRG0720260249;"Sapu Keset";;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;30000
010201050004-02;SN-010201050004-02;BRG0720260249;"Sapu Keset";;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;30000
010201050005-02;SN-010201050005-02;BRG0720260249;"Sapu Keset";;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;30000
010201050006-02;SN-010201050006-02;BRG0720260249;"Sapu Keset";;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;30000
010201130001-02;SN-010201130001-02;BRG0720260375;"Sikat Cuci";Nagoya;2018-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
010201130002-02;SN-010201130002-02;BRG0720260375;"Sikat Cuci";Nagoya;2018-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
010201130003-02;SN-010201130003-02;BRG0720260375;"Sikat Cuci";Nagoya;2018-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
010201130004-02;SN-010201130004-02;BRG0720260375;"Sikat Cuci";Nagoya;2018-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
010201130005;SN-010201130005;BRG0720260375;"Sikat Cuci";Nagoya;2018-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
010201130006;SN-010201130006;BRG0720260375;"Sikat Cuci";Nagoya;2018-01-01;10000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;10000
010201160001-02;SN-010201160001-02;BRG0720260228;Kanebo;;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;20000
010201160002-02;SN-010201160002-02;BRG0720260228;Kanebo;;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;20000
010201160003-02;SN-010201160003-02;BRG0720260228;Kanebo;;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;20000
010201160004-02;SN-010201160004-02;BRG0720260228;Kanebo;;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;20000
010201160005-02;SN-010201160005-02;BRG0720260228;Kanebo;;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;20000
010201160006-02;SN-010201160006-02;BRG0720260228;Kanebo;;2018-01-01;20000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;20000
010201270001;SN-010201270001;BRG0720260369;"Sapu Sawang";Nagoya;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;30000
010201270002;SN-010201270002;BRG0720260369;"Sapu Sawang";Nagoya;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;30000
010201270003;SN-010201270003;BRG0720260369;"Sapu Sawang";Nagoya;2018-01-01;30000;Beli;UNT-2026070002;"AULA ";;"Rusak Ringan";Aktif;B;5;0;0;30000
01201330001;SN-01201330001;BRG0720260209;"Gunting Taman";;2022-01-01;75000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;75000
92202040401;SN-92202040401;BRG0720260415;Printer;"Epson L121";2023-01-01;1850000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;1850000
92204020001;SN-92204020001;BRG0720260433;Meja;;2025-01-01;900000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;900000
92204020002;SN-92204020002;BRG0720260433;Meja;;2025-01-01;900000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;900000
92204020003;SN-92204020003;BRG0720260433;Meja;;2025-01-01;900000;Beli;UNT-2026070002;"AULA ";;Baik;Aktif;B;5;0;0;900000
AST-005BRG0720260433-02614-01;SN-AST-005BRG0720260433-02614-01;BRG0720260433;Meja;;2019-01-01;0;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;0
05204080001;SN-05204080001;BRG0720260433;Meja;;2019-01-01;0;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;0
05204080001-02;SN-05204080001-02;BRG0720260433;Meja;;2019-01-01;0;Beli;UNT-2026070005;Farmasi;;Baik;Aktif;B;5;0;0;0
